review,result
"""Cukup sering kemari, tapi tp kemarin terakhir agak kecewa sih. Mengenal hutan pinus pengger sejak masih belum ada spot2 foto buatan seperti sekarang.",negative
"Terakhir datang kemarin, malam hari, pengunjung yang ada di balakang spot foto berbayar, diusir disuruh pindah dan tidak boleh ada disitu.",negative
"Sebagai saran aja sih, semua orang masuk dengan legal dengan membayar uang tiket masuk. Jika memang tidak boleh berada di area tersebut ditutuo aja, di tali atau apalah. Bukan dengan mengusir karena dianggap mengganggu. Apa mungkun karna mereka yang bayar untuk foto semantara yg lainnya tidak?""",negative
"""Pinus pengger jadi alternatif buat yang punya jadwal liburan padat tapi masih pegen main ke hutan pinus karena kawasan hutan pinus pengger ini buka sampai jam 12 malam.",positive
"Ada 2 spot foto favorit yg berbayar, jadi kita ambil nomor antrian, trus foto, nanti per fotonya dihargai 5ribu dan bisa diambil dalam bentuk softfile. Kalau malam fasilitas foto berbayarnya mulai dari jam stengah 7 malam yaaa.",neutral
"Fasilitas terbilang lengkap dan enggak mahal, tiket masuk 2 orang 1 motor hanya 7ribu rupiah saja. Ada toilet umum, tempat duduk yg tersebar, spot foto gratis/berbayar ada, mushola ada juga, warung warung banyakkk, rumah makan juga ada, parkir mobil luas, bis besar bisa masuk.",positive
"Saran kalau berkunjung kesini pake alas kaki yg enggak licin karena kondisi tanah di pinus pengger sedikit lebih licin dari kawasan hutan pinus lainnya.""",positive
"Seru, berwisata di dalam hutan pinus dengan macam2 spot untuk berfoto. Tiket masuk hanya 3000 Rupiah, dan biaya tambahan spot2 foto tertentu.",positive
"""Menuju lokasi harus siap kendaraan yg sehat, karena jalanan berkelok naik / turun tajam.",neutral
"Waktu the best adalah sore/malam, karena bisa melihat pemandangan jogja dari atas. Tapi karena lg musim hujan di jogja, pastinya akan lebih licin dan ga nyaman.",negative
,positive
"Ohya ada no tlp juga yg bs dikontak utk cek sebelum ke lokasi. 0821-3575-3988 sangat membantu. Kami semula mau ke lok malam, tapi pas telp, di info klo kawasan hutan masih hujan lebat (pas telp jam 5 sore), dan klo masih tetep hujan lebat maka akan ditutup lebih awal (std tutup jam 8 mlm)",neutral
,positive
"Akhirnya kami menuju lok pas siang hari aja. Tetep worth it ya, masih bisa liat pemandangan kota jogja dengan jelas. Selain itu jgn takut panas, karena banyak pohon pinus sehingga hawa sejuk ditambah ga terik matahari.",positive
,positive
"Buat yg ga kuat jalan nanjak jangan kuatir, karena banyak kursi duduk dimana2. Tempat sampah jg tersedia di byk tempat. Jadi pleaseeeee JANGAN BUANG SAMPAH SEMBARANGAN.",negative
,positive
"Utk tiket masuk murah cuma 5K/org. Tapi di dlm beberapa tmp spot foto akan membutuhkan tambahan biaya yg ga seberapa jg. Sy ke area tangan byr 2K/org. Klo mau foto profesional ada yg bisa bantu dgn tambahan biaya tentunya. (Biaya ga seberapa buat your best moment)""",positive
"Yg ingin berdamai dg alam tempat ini recommended banget😁, dan juga bagi para pecandu jebret jebret, apalagi di sore hari sambil menikmati senja, mantap deh. Tiket masuknya cuma 2.500/ orang.",positive
"Salah satu tempat wisata yang instagramable dan wajib dikunjungi bagi pecinta alam. Hutan pinusnya menenangkan dan bikin adem. Jalan menuju tempat ini cukup menanjak, sangat disarankan naik kendaraan yang prima. Tiket masuk dan parkir murah. Jajanan di dalam pun cukup terjangkau mulai dari 4 ribu untuk minuman dan 5 ribuan untuk makanan seperti bakso bakar",positive
"""Rekomended bgt tempatnya, bayar tiket masuknya murah bgt cuman 2k/orang.kesini bagusnya malem2. Ada photographer juga baik & di arahin gayanya gmn2 cocok untuk yg kalau foto, mati gaya hehe",positive
"Mas nya ngjak ngbrol mulu jadi kitanya gak kaku juga. Kalian wajib bgt kesini ya klo ke jogja 🤗""",positive
"Buat Orang Yang tinggal Dikota, ingin Menikmati Udara Segar yang luar biasa, tempat ini jadi solusinya. Benar-benar asri dan tidak mungkin bisa ditemukan ditengah kota Udara ditempat ini. Sejuk. Tiket terjangkau. Akses mudah.",positive
Tempat luas... bnyk spot foto.. ada beberapa spot yg bisa dpt bantuan fotografer ber -SLR jadi foto lebih baik... tiket masuk murmer.. akses jalan baik.. parkir luas...,positive
Tiket masuk murah. Fasilitas lengkap. Banyak spot foto tapi kudu sabar nunggu buat gantian.,positive
"Tiket perorang 3000 dan motor 2000 parkiran untuk mobil luas,  bus juga bisa masuk. Bersih nyaman dan banyak spot fotonya. 👍",positive
"Banyak spot foto menarik, tempatnya bersih. Parkiran luas. Mushalla dan tempat makan tersedia. Tiket masuk murah.",positive
"Parkir luas, toilet banyak tapi kurang bersih, wisata nyaman, harga tiket murah, ke spot foto tangan bayar lagi tiket nya, tapi yg lain engga, seperti jembatan, dll. Tapi ada pos loket tiket nya, oiyaa kalo bisa apabila ada jalan tidak untuk pengunjung mohon di tutup atau diberi tanda, saya kemarin nyasar sampek rumah warga karna saya liat ada jalan setapak di cela2 setelah dr jembatan yg saya kira pintu keluar.",positive
"Tempatnya sejuk bgt, tiket masuk murah meriah",positive
"Beautiful view, beautiful forest! Butuh perjuangan jalan kaki jika ingin sampai ke gardu pandangnya. Biaya tiket masuk terjangkau, parkirnya juga luas. Spot foto juga banyak, tinggal pilih. Banyak penjual snack juga 😊",positive
"""Tiket masuk murah",positive
Background Spot photo hampir sama semua ..,positive
"Bisa pake jasa photo transfer ke hp hasilnya cm 3.000 perphoto..bisa dipilih photonya""",positive
"Jika anda ingin mencari spot foto romantis di malam hari, tempat ini sangat recommended untuk anda!! Dari yang harga tiketnya murah serta akses jalan yang mudah untuk dapat menemui lokasi ini, dan harga tiketnya yang ekonomis👌🏻",positive
Tiket masuk 3000/orang. Dan banyak spot foto. Baiknya kalau kesini sore sampe malem. Krn ada banyak spot yg bagusnya itu pas sore dan malam hari. Utk harga makanan sih relatif ya. Termasuk murah utk dikawasan wisata. Jangan lupa bawa kamera ya! Utk yg ga bawa kamera disana ada kok yg fotoin berbayar 4000 per fotonya. Tp harap sabar nunggu antrian. Hiiw. Selamat berlibur.,positive
"Tempatnya indah, bersih, tertata dengan baik. Petugas parkir, penjaga tiket masuk, penjual di warung sekitarnya ramah semua. Ada mushola kecil dan kamar mandi umum bersih. Spot foto menarik di siang dan malam hari.",positive
"murah, tiket perorang 5rb, parkir 3rb. foto sepuasnya, ditempat tertentu ada tukang foto klo gasalah cuman 5rban dapet softcopy kirim hape langsung bisa milih.",positive
"Pemandangan baguuss bikin nagih, tiket masuk 2500, parkir 2000. Ada toilet, ada mushola.",positive
"Sejuk,,akses mudah,,ramai pengunjung dari luar kota,,tiket masuk murah meriah",positive
Tempatnya cocok buat melepas penat......ramah anak......sejuk hrga tiket masuk juga murah,positive
"tempatnya cocok buat nyantai sambil menikmati pemandangan kota jogja dari atas bukit, tiket masuknya juga murah, tempat parkir memadai dan juga murah, terdapat banyak warung jadi ndak usah khawatir bagi pasukan berani mati takut lapar",positive
"Tiket masuk murah, hanya 2500/org dan parkir motor 2000. Ada berbagai fasilitas yang disediakan, mushola, kamar mandi, warung-warung. Kamar mandi bersih, bayarnya 2000 saja. Spot foto yang disediakan oke bgt 👍",positive
"""Tempatnya sejuk, banyak spot spot yang menarik seperti rumah pohon, tangan raksasa, sapu lidi raksasa dll. Lokasi mudah dijangkau dan tidak sesulit Hutan wisata pinus yang lain di jogyakarta. Tiket murah sekitar Rp 3,000,-",positive
"Cukup memuaakan untuk sekedar melepaskan penat dan melupakan sedikit waktu pekerjaan.""",positive
"Cocok untuk uwuw dengan pasangannya masing masing dengan harga tiket yg terjangkau dikantong🤣😅, tempatnya juga menyediakan fasilitas untuk cuci tangan dan juga  cek suhu jadi aman berkunjung dipinus pengger dimasa pandemi saat ini.",positive
".. Nyaman, toilet banyak n bersih, mushola jg ada..tiket murah",positive
"""Banyak spot untuk berfoto",neutral
Tiket masuk 2 org dan parkir motor hanya 7.000,neutral
Fasilitas,positive
Toilet Bersih,positive
"Mushola""",positive
Tiket masuk murah cma kemaren gk bisa menikmati suasananya ada rombongan sekolah jadinya antri utk berswa fotonya,positive
"Mau pagi, mau siang, mau sore, mau malam.. oke deh pokoknya.. recomended. Tiket masuk murah meriah...",positive
"Sejuk dingin, hrs kuat jln mendaki, parkir luas, spot foto banyak n instagramable, sayang msh byk yg merokok ( takut kebakaran ), tiket masuk murah, keamanan pengunjung hrs lbh d perhatikan.",positive
"""Wisata ke dua setelah l dari HeHa Sky View gua lanjut ngegas motor sewaan lanjut perjalanan ke Hutan Pinus Pengger kurang lebih 20 menit kalau dari Heha sky view.",positive
,positive
Tiket masuk dan parkir motor langsung ditarik di depan 13.000,neutral
Di dalam tempat wisata sdh disediakan spot foto dgn berbagai view dan bentuk penunjang yg keren seperti,positive
- foto di tebing jurang dgn naik tangan gedhe,neutral
- foto di macam macam bentuk yg disediakan,neutral
Penasaran kan,neutral
Silahkan datang dan nikmati aja saran gua hahaha,neutral
,positive
"Semoga liburanmu menarik, semakin berwarna dan jaga isi dompetmu ya...",positive
,positive
"My trip my adventure""",neutral
"""harga tiket masuk 4.500 per org",neutral
"utk karya cetta dan pancawara disediakan jasa kamera utk foto dikarya tersebut, jika memakai jasa foto,hrga per fotonya 4.000 dan mengisi dana sukarela utk perawatan karya. Memakai kamera sndiri pun sangat boleh dan dianjurkan utk mengisi dana sukarela utk perawatan karya.",positive
Dan pengelola sangat ramah2.,positive
"recomen sekali buat yg mau liburan ke jogja""",positive
"Agak takut pas jalan mau masuk ke objek wisatanya, jalannya naik dan tidak rata, tiket masuk murah meriah oke oke saja",positive
"Spot Fotonya sangat instagramable, ke sini paling cocok lepas maghrib biar lampu2 kota nya kelihatan...tdk perlu bawa kamera karena sdh ada yg fotoin, 1 foto harganya 4000 rupiah dan tiket masuknya hanya 2000 rupiah ...murah kan? Kalau ke Jogya Kalian Wajib Kesini...",positive
"Waktu kesini ramai pengunjung dari luar daerah, banyak spot foto, tiket masuk untuk 2 orang 8000 sudah dengan parkir, beberapa spot foto ada yang berbayar, sukarela, dan ada yang free",positive
"""Tempat yang sangat epik untuk berfoto juga healing..",positive
Tiket masuknya sangat terjangkau.,positive
"Jangan lupa mengajak seseorang jika kesini ya 😁""",neutral
"Waktu datang ke sini, tidak terlalu ramai seperti waktu libur nasional, jadi untuk berfoto di spotnya gak antre panjang. Tiketnya murah² jadi gak usah khawatir kantong jebol.",positive
keren... ticket masuknya juga murah buangeth 👍,positive
"""Hutan pinus pengger asik spot fotonya dan syahdu.",positive
"Tiket masuk juga murah masih terjangkau""",positive
"Wisata hutan pinus sendangsari adalah tempat rekreasi berbaur alam dengan banyak objek spot photo yang istagramable, dengan harga tiket yang sangat terjangakau, anda dapat menikmati suasana alam dengan ribuan pohon pinus yang menjualang tinggi. Bagi kamu yang takut panas atau badan bisa item disini menjadi solusi dengan kesejukan dan kerindangan alam yang masih terjaga. Yok kesini!",positive
"""Sangat tertata rapi sekaliii, adem",positive
"Tiket terjangkau""",positive
"Tempatnya rekomen banget buat para traveller yg mau nikmatin indahnya alam, untuk tiket masuknya juga terjangkau banget si",positive
"Referensi tempat wisata yg cocok bagi pecinta wisata alam tiket masuknya terjangkau , suasananya asri, tempatnya bersih, banyak spot-spot foto yang instagramable, dari sini juga dapat melihat pemandangan jogja bagian selatan, tempat parkir juga memadai, musholanya cukup, hanya saja akses ke sini cukup rawan karena tanjakan dan tikungan yg curam, apalagi bagi pengunjung yg kurang tahu medan, jadi harus ekstra hati-hati",positive
"Biasa saja, tidak terlalu menarik. Mayan buat foto2. Kalau spot foto yg gambar tangan, bayar lagi tiket masuk ke dalem lokasi foto. Nebus fotonya jg bayar lgi. 1x kesana & ga mau kesana lagi. Enakan beli teh+bakso d parkiran 😂",positive
"""Tiketnya termasuk murah juga",positive
"Okelah""",positive
Menarik sejuk nyaman Tiket terjangkau,positive
Indah pada malam hari. Direkomendasikan. Terjangkau. Tiket masuk hanya Rp. 2000-Rp. 3000 per orang (tergantung hari).,positive
Spot foto yg menarik. Dan bnyk yg mengunjungi. Tiket masuk murah. Dan untuk tiket spotny juga murah bgt.,positive
"Cukup murah tiket masuknya, spot foto nya sangat worth it sih, 4rb per foto yg kita mau .",positive
"Tiket masuknya murah, 8k untuk 2 orang + 1 motor, tempatnya bersih, waktu foto terbaik adalah pada saat sunset dan malam",positive
Destinasi wisata dengan spot photo yang unik. Tiket masuk murmer. Lokasi agak menanjak. Perlu peningkatan untuk prokes di masa pandemi ini.,positive
Tiket masuk.murah makanan juga enak2 dan terjngkau recomden deh buat temat wisata di jogja,positive
"Hai bro ini tempat  paling top baget di jogja namanya  pinus Pengger  tempat  cocok  bgt buat kalian  yg suka sefi,,  tiket  masuknya  10 rb saja per orang",positive
"tiket masuk murah , jika ingin datang kesini jangan weekend karna spot fotonya lama antrinya soalnya rame bangetttt",positive
"tempatnya keren, murah banget, tiket masuk + parkir ga nyambe 10rb wkwk, per spot foto ada tempat untuk retribusi seikhlasnya. buat yang ga bawa kamera ada jasa foto juga",positive
Tmn ya segeralah....adem tiket msk Mura h,positive
"Wisata ini lumayan memiliki spot foto yang menarik, mulai dari akar2an pohon, tangan, rumah pohon dll. Harga tiket masuk untuk 2 orang dengan 1 motor 10.000",positive
"Tempat yang indah dan sejuk, makanan disana harganya standar, gak mahal..tiket masuknya juga murah..",positive
"""Tempat nya bersih dan adem juga",positive
Enak buat nyantai dan wisata di Jogja,positive
"Biaya parkir 2 ribu untuk sepeda motor dan tiket masuk 3 ribu""",neutral
Banyak spot foto ala intagram. Tiket masuknya murah. Recommend lah buat yg pengen foto kece disini,positive
"Tiket masuk murah meriah, saat perjalanan bisa liat kanan kiri pohon yg begitu adem di lihat. Orang"" disana juga ramah. Banyak turis yang datang juga",positive
Cukup sejuk dengan suasana santai.. Dengan tiket yang murah.,positive
"""Tiket masuk murah, arahnya jelas krn ada peta dan penunjuk arah yg jelas.",positive
"Namun setiap aktivitas ada harganya. Saran sy bgmn tiket masuk dibuatkan paket (plus foto) dan non paket. Lalu foto dpt dipilih/diambil di pintu keluar dgn beberapa komputer berjajar. 🙏""",neutral
"Sangat rekomendet harga tiket yg murah dan seport foto yg ok bgt, saran saya kalo mau ke pinus pengger malam hari biar ada keindahannya",positive
"Harga tiketnya murah, suasananya romantis, salah satu rekomendasi untuk menikmati senja di kota jogja",positive
Tempatnya adem .. parkir gampang tiket masuk murah.. trsedia byk spot fto yg berbyr dan gak berbyr.. koreksi saja buat kang fotographer nya kl bs kwalitas gambar fto dicerahin mosok pkai kamera hasilnya mlh bagusan hape,negative
"Recommended banget, tiket masuk murah, harga makanan murah, pemandangan luar biasa indah...katanya lebih indah lagi kalau kesini malam hari...",positive
"Tiket masuknya murah Rp 5,000. Parkir mobil 5,000. Suasana disana sejuk, pengunjung malem minggu normal tidak terlalu ramai. Spot foto ada yg bisa bayar ke fg disana atau bisa sendiri, ganti²an saja. Sempet mati listrik ditengah kunjungan tp pengelola gercep mengatasi. Parkir mobil & motor luas",positive
"simplenya sesuai dg namanya hutan pinus, maka wisata anda akan disuguhi deretan pohon2 pinus, tp jangan dibayangkn sejauh mata memandang berkilo² meter akan dihadapkan trbentang luas dataran pohon pinus namun wisata ini lbh menawarkn spot2 karya buatan tangan dg bahan alam utk digunakan sbg photo unik. jl setapak mnuju spot2 unik yg cnderung naik turun bs mjd olah raga trsendiri, namun udara yg sejuk krn 200mtr dpl akan mjd pngobatnya. fatsum yg komplit serta tiket masuk & harga bbrp souvenir di kios luar misal gelang yg 3k cukup mumer tdk trlalu mnguras isi dompet.",positive
"""Biaya masuk perorg 3rb, parkir motor 2rb.",neutral
tarif sesuai dgn tiket yg dberi..,neutral
"jos..""",positive
Recommended banget untuk foto dan cari ketenangan. Harga tiket yang terjangkau juga. Bebas polusi ya guiss. Selalu jaga kebersihan disanaa ❤,positive
"Sejuk , tiket murah , jajanan murah , tempat bersih cocok untuk refresing dan selfi selfi , dgn background kota jogja .",positive
"""Ekowisata yg baguss untukk liburan,,",positive
"Harga tiket masuk 5.000/org, parkir mobil 10.000,, untuk spot foto ada yg berbayar ada jga yg gratisan..",negative
,positive
Di spot foto telapak tangan ada tiket masuk nya 2.000/org + ada jasa fotografer nya tiap foto yg mau diambil cukup bayar 3.000/foto tp dikirim via hp bukan cetak jika ambil bnyak ada potongan harga.. spot ke 2 yg ada tulisan hutan Pinus nya disini tiket masuk tdk ada tp ada jasa fotografer jga harganya sama 3.000/foto..,positive
,positive
"Untuk lansia yg masih kuat jalan silahkan berkunjung tp kalau yg udah ngak kuat jgan di paksa karna harus jalan kaki dan mendaki untuk melihat spot2 foto nya..""",positive
"Tempat nya adem, sejuk,  tiket msk nya murah.  Banyak spot foto yg keren",positive
tiket masuk murah meriah just 5000,positive
"Sebelum bayar tiket masuk, diwajibkan checkin di PeduliLindungi. Lumayan lama karna sinyal ga stabil jadi ga masuk2 keapknya. Kesini kondisi baru banget selesai hujan, tapi aman bgt kok guys dalemnya. Tiap anak tangga ada bebatuan sm bambu2 gitu jadi gak licin. Spot foto lumayan banyak, ada 1 spot foto yg bayar tp worth it bgt sm hasilnya. Pemandangan baguuusss, banyak warung2 makanan juga",positive
"""Udaranya sejuk, bersih... Tiketnya murmer..",positive
"Spot foto yang ajiib""",positive
"""Tiket masuk murah cuma 5k parkir motor 3rb saja...",neutral
"Ada banyak spot foto menarik... Ada yg byr lg ada yg engga tp cukup terjangkau karena  cuma 2k saja.. Dan ada fotografer juga loh, per filenya juga murahhhh..",positive
"Klo laper pun ga perlu khawatir.. Krn di dalem tersedia bbrp kedaii yg harganya relatif terjangkauu""",positive
"Tempat romantis.. retribusi terjangkau.. parkir 2 k. Tiket masuk 2,5 k per kepala manusia..",positive
keren dgn harga tiket 3000 /org 👍,positive
"View foto mantul2 cocok buat yg suka Selfi pokoknya gak nyesel deh. Walau jauh2 dari Demak tapi terbayar sudah capeknya, karena kita rombongan tim out bond.nya juga gokil2. tiket masuk juga mumer, buat masukan aja buat pengelola tempat2 makan, ngopi smaa nyemil gorenganya lebih dikoordinir penataannya sama menunya. Kalau lain waktu kesini lagi biar lebih nandes memorinya..",positive
Tempat pariwisata yg nyaman dan asri....dengan harga tiket masuk yg murah,positive
"Murah meriah,,, tiket masuk masil mahal cilok sebungkus. ..",positive
"""Tempat yang tepat buat healing dari suasana perkotaan, tersedia banyak fasilitas yang menunjang mulai dari spot foto, tempat makan, dan pemandangan kota jogja. Kebersihan di sini sangat baik, untuk harga makanan relatif masih terjangkau.",positive
"Pada masa pandemi ini tetap menerapkan protokol kesehatan, dan untuk masuknya wajib vaksin yang terdaftar di aplikasi PeduliLindungi lalu scan QR code yang tersedia di lokasi.",neutral
"Untuk harga tiket masuknya 5.000 rupiah, terdapat tempat parkir cukup luas juga.""",positive
"tiket murah, sdh rapih & bersih....",positive
"Tiket masuk murah, view indah banyak spot untuk foto tapi antrian untuk foto mengular",positive
Jalan yg berliku dan dah sedikit rusak....tp setelah sampai ...bisa terobati...tiket masuk yg murah dan menfapatkan lokasi selfi yg insta banget,positive
"""Lebih baik kesini waktu malam hari, karena viewnya jogja malam hari bener bener indah banget. Cuma hati hati saja, untuk menuju hutan pinus pengger ini treknya cukup curam, apalagi kalau dari Bantul. bener bener ekstrim.",negative
"Lupa berapa tiket masuknya, yang jelas cukup terjangkau kok.",positive
"Disini ada beberapa spot foto, kalau tidak salah ada 3 spot foto yang masing2 ada fotografernya sendiri.",neutral
"Untuk spot foto berupa tangan itu, biaya masuknya 2 rb.",neutral
Kalau spot yang lain tidak bayar lagi.,negative
Biaya foto per file nya 4rb. Boleh foto sepuasnya tapi tau diri juga ya karena antri parah hihi.,positive
"Worth it to visit!""",positive
"""Harga tiket sama motor 13rbu.",neutral
"Adem bgt, kalau mau foto bayar 2rbu lg""",positive
"""Pemandangan keren. Pelayanan memuaskan. Lokasi asri",positive
Ada jasa jeep juga dg biaya terjangkau. Per jeeo 3-4 orang.,positive
Tiket masuk 3000/org,neutral
Masuk Spot foto 2000/org,neutral
Jasa fotografer 3000/foto,neutral
"Recomended... Fotografer boleh digunakan atau tidak atau optional""",positive
Tempatnya masih bersih ada beberapa spot foto. Pemandangan yang cantik dari atas bukit. Harga tiketnya cuman Rp. 5.000,positive
"""Tempatnya menurutku adem, sejuk, dan masih agak terjaga kebersihannya.Tempat ini cocok buat kalian yang ingin mencari view pemandangan dari ketinggian, tapi jika ingin mendapatkan suasana yang asri dan damai, kalian bisa datang ketika sedang sepi pengunjung, dan juga sebisa mungkin datang saat cuaca cerah. Untuk akses jalan menurutku mudah untuk dilalui kendaraan roda 2 maupun 4. Untuk biaya masuk, bisa dibilang cukup terjangkau, parkir Rp.2000,-/motor, dan untuk tiket masuk Rp.3000,-/orang +if Rp.2000,-/orang untuk spot foto",positive
,positive
"Recommended  👍""",positive
"untuk tiket masuk murah sekali per orang 3000an selain itu malam indah sii , cuma kalau rame foto di spot tertentu nya ramee harus antriii oh iya untuk foto di  spotnya di fotokan dan harus bayar ya :)",positive
"Perginya malam sekitar jam 7-an hari sabtu (weekend). Perjalanan menuju pinus Pengger lumayan lancar meskipun jalanan ramai. Setelah parkir, membayar tiket masuk, kami ber-7, total 26 ribu rupiah. Di pintu masuk ada peta hutannya dan spot-spot foto. Selama perjalanan didalam hutan penerangan minim, ada beberapa spot foto yang lumayan gelap. Setiap spot foto harus antri karena banyak pengunjung. Spot foto favorit dan ramai pengunjung adalah di jembatan dan yang mirip tangan. Kalau ingin makan atau ngemil ada cafe-cafe kecil sebelum spot foto jembatan. Parkiran mobil dan motor cukup luas.",positive
"""Jadi gini, ketika habis dari Borobudur, sampai sana sore hari sekitar jam 16.00 .",neutral
"letak lokasi Pinus Pengger berada di Gunung Kidul, Yogyakarta .",neutral
"jadi kalo mau kesini, akses utama akan melewati beberapa tempat Wisata seperti Sky View Heha, Bukit Bintang dsb.",positive
"Wisata Hutan Pinus Pengger ini sangat"""" menarik Wisatawan karena Harga Tiket Masuk yang terkenal Murah . yaitu dengan harga 3.000 saja, kalian bisa masuk kedalam menikmati Hutan Pinus, Bukit Sunset dan tentunya kota Jogja akan terlihat dari atas .",positive
"sebenarnya banyak yang tau lokasi tempat ini, dan tempat ini jg sudah pernah di explore oleh beberapa stasiun TV Nasional karena harga tiket masuknya yg terkenal murah dan Fasilitas yg didapat juga sangat Wah .",positive
"jika kalian main"""" ke Jogja, jangan lupa untuk mampir ke tempat ini . RECOMMENDED !!",positive
.,positive
ket. Foto Penumpangku di Halaman Depan Pinus Pengger .,neutral
"Open Trip Jogja dr Malang . own : """"AjiebTourTravel"""" collabs """"Ef_Trans""""""",positive
"""Tempat nya adem, sejuk, pemadanganya keren.",positive
"Tapi sayang sekali untuk bberapa spot foto harus bayar lagi,bukan masalah nominal nya tapi terasa aneh aja masa udah beli tiket masuk mau foto aja byar lagi. Pdahal spot foto nya biasa aja.""",negative
"""Destinasi wisata alam hutan pinus yang lengkap. Cuma jangan kesini pas weekend, rame banget jadi kurang bisa menikmati destinasinya.",positive
,positive
"Tiket masuk sekitar 5000, parkir motor 2000an. Selebihnya gratis.",positive
,positive
"Destinasinya sudah menetapkan prokes standar di masa new normal. Cuma pengunjung yang masuk masih tergolong padet banget kemarin.""",positive
"""Tempatnya adem banget.",positive
Pas kesitu Tiket masuk cuma 5.000,neutral
Banyak penjual makanan dengan harga sangat terjangkau,positive
Pas kesitu beli ayam Lombok ijo cuma 13.000,neutral
"Ada lokasi life musik juga lo""",neutral
"Harga tiket murah, adem bgd",positive
Pernah kesini pertama kali dari rumah jam 8 malam dan pas hari jumat. Lumayan sepi tapi tetap saja foto antri. Jika piknik ke jogja menurut saya wajib si kesini. Banyak sekali spot yang menarik dengan tiket yang menurut saya murah. Karena kesini malam hari jadi saya review  malam hari saja. Keren banget bisa melihat jogja dari atas. Setiap spot ambil nomer antrian buat foto perfile foto itu harganya 4ooo tapi kita bisa gaya 3x dan tinggal pilih.,positive
"""Udah lama ga ke jogja, tiba tiba pengen lihat yg adem adem.",positive
Pinus pengger lebih dekat dijangkau dari pusat kota dibanding hutan pinus yg satunya .,positive
Aku lewat jalur jalan wonosari lebih kerasa deket.,positive
Untuk tiketnya cukup murah.. under 10K.,positive
Terdapat beberapa spot foto yg oke.,positive
"Sayangnya lupa ga bawa camera, tapi tenangnya aja di spot foto yg ada bentuk jempol dari rotan ada jasa tukang foto dgn biaya per foto 4K/foto. Untuk hasilnya ketika di zoom di laptop agak ngeblur meskipun mereka ambil gambar pake kamera.",positive
"Ohiya jangan buang sampah sembarangan yaaaa""",negative
Gak bakal nyesel ke sini sejuk adem dan indah tiket masuk cuma Rp.3000 guys 😜,positive
"Di dalam tempatnya sejuk karena banyak pepohonan, tapi cukup menguras tenaga karena harus mendaki tangga. Harga tiket masuk 5000.",positive
"Tempatnya syahdu kalau malam hari, tiket masuk Rp. 7.000-, untuk 2 orang sudah include bayar parkir. Spot foto nya oke, cukup aman. Ada fotografernya disana untuk masing-masing spot, sistemnya antrian, jadi cukup tertib dan ga wasting time karna nungguin orang lain yg foto ga kelar kelar, hehehe. Asyik pokoknya mah 🤗",positive
"""Sebuah tempat wisata yang bagus jika anda mencari tempat wisata alam yang memiliki spot foto menarik.",positive
"Akses nya mudah sekali meski berada di atas gunung,bisa naik bigbus juga untuk menuju sini.",positive
"Tiket nya murah, lokasi nya enak, di dekat lokasi ada tempat untuk membeli makan, ada tersedia toilet, dan ada super market di depan nya.",positive
"Tempat nya nyaman, bersih dan asri""",positive
"""tiket masuk 2 orang + parkir motor = Rp 7.000",neutral
"pinus pengger ini paling dekat dengan jalan wonosari, tempatnya sejuk, asri, banyak spot foto yang bayar """"seikhlasnya"""", dan mushalanya bersiiih.",positive
"tapi tetap perlu diperbanyak tempat sampah dan plang larangan buang sampah sembarangan.""",neutral
"Pinus Pengger, Parkir Rp 5.000, tiket masuk Rp 3.000 perorant dan spot foto tangan Rp 2.000 perorang beberapa spot gratis atau seikkhlasnya... ada tempat camping tetapi sayang jauh dari kamar mandi dan pemandangan belum los",positive
"Akses untuk ketempatnya mudah, tapi kalau malam harus hati-hati. Belum banyak penerangan untuk jalan menuju sana. Pemandangan nyaa keren abiss😊 cocok deh yang doyan sama photography. Tiket masuk just 2000, parkir 2000. Jangan khawatir juga, disini ada toiletnya kok😁",positive
"""Pemandangannya bagus banget",positive
".tiket masuk terjangkau banget..""",positive
"""Tiket masuk murah... cuman 2500... parkir motor 2000 udah bisa menikmati pemandangan hutan pinus....",positive
,positive
Lokasi di area gunung kidul tepat sebelum puncak becici... udaranya sejuk dan nyaman. Meski siang pun tetep adem. Tapi tempat ini makin epik saat malam karena bisa foto dengan backgepund kemerlip kota jogja. Ada beberapa spot foto dengan biaya suka rela. Tapi nggak ada penjaga. Kadang antri dan sering diserobot waktu antri. Spot foto juga kurang banyak. Cuman itu2 aja.,positive
,positive
Ada banyak fasilitaa umumnya. Jadi nggak usah khawatir jika butuh sesuatu.,positive
,positive
"Pinus pengger... semangat.""",positive
"Tempat yang oke, nyaman dan bagus untuk menambah koleksi swaphoto. Ada layanan jasa photographer untuk hasil yang maksimal. Harga layanan jasa photographer tidak mahal untuk ukuran tempat wisata yang bagus. Sangat puas dengan indahnya pemandangan dan layanan jasanya. Tiket masuknyapun terjangkau untuk penikmat pemandangan alam.",positive
"Tempat sangat bagus, tiket masuk sangat murah, dan banyak spot foto yang keren²",positive
"Pemandangan nya indah, tiket masuk cuma 5 ribu, untuk foto spot bayar 2rb difotoin sama Mas nya, share foto 3rb. Murmer banget kan?...",positive
"Destinasi wisata hutan pinus dg spot2 foto yg instagramable, ada foodcourt, toilet dan musholla. Konsep wisata outdoor yg bagus, dg tiket terjangkau dan parkir yg luas.",positive
